"avatarUrl","checkinDate","checkoutDate","countryCode","countryName","customerType","guestTypeTranslation","helpfulVotesCount","hotelId","isApproved","negativeText","numNights","photos/0/__typename","photos/0/id","photos/0/kind","photos/0/urls/0/__typename","photos/0/urls/0/size","photos/0/urls/0/url","photos/0/urls/1/__typename","photos/0/urls/1/size","photos/0/urls/1/url","photos/0/urls/2/__typename","photos/0/urls/2/size","photos/0/urls/2/url","photos/1/__typename","photos/1/id","photos/1/kind","photos/1/urls/0/__typename","photos/1/urls/0/size","photos/1/urls/0/url","photos/1/urls/1/__typename","photos/1/urls/1/size","photos/1/urls/1/url","photos/1/urls/2/__typename","photos/1/urls/2/size","photos/1/urls/2/url","photos/2/__typename","photos/2/id","photos/2/kind","photos/2/urls/0/__typename","photos/2/urls/0/size","photos/2/urls/0/url","photos/2/urls/1/__typename","photos/2/urls/1/size","photos/2/urls/1/url","photos/2/urls/2/__typename","photos/2/urls/2/size","photos/2/urls/2/url","photos/3/__typename","photos/3/id","photos/3/kind","photos/3/urls/0/__typename","photos/3/urls/0/size","photos/3/urls/0/url","photos/3/urls/1/__typename","photos/3/urls/1/size","photos/3/urls/1/url","photos/3/urls/2/__typename","photos/3/urls/2/size","photos/3/urls/2/url","photos/4/__typename","photos/4/id","photos/4/kind","photos/4/urls/0/__typename","photos/4/urls/0/size","photos/4/urls/0/url","photos/4/urls/1/__typename","photos/4/urls/1/size","photos/4/urls/1/url","photos/4/urls/2/__typename","photos/4/urls/2/size","photos/4/urls/2/url","positiveText","reviewScore","reviewedDate","roomId","roomName","title","username"
"https://lh3.googleusercontent.com/a/AGNmyxaP9H5X5pzDRjf0iV-8TsTy363cihD72J1tUSl39w=s96-c","2024-12-27","2024-12-28","sa","Saudi Arabia","SOLO_TRAVELLERS","Solo traveler","1","11206034","true","None","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleanness","10","12/28/2024, 9:20:27 AM","1120603409","Deluxe Double or Twin Room",,"Moath"
"https://graph.facebook.com/v2.9/10208535975651608/picture?type=square&height=64&width=64","2024-12-25","2024-12-26","eg","Egypt","COUPLES","Couple","2","11206034","true","Nothing","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amazing stay
Great value 
Exceptional hospitality 
Excellent location","10","12/26/2024, 8:30:48 PM","1120603408","Economy Double Room",,"Mohamed"
"https://lh3.googleusercontent.com/a/AGNmyxZgTtq4K_9oA4NzBKSSMd4FHXC_0_SUQ7C9IJW_Ua4=s96-c","2024-12-08","2024-12-12","in","India","COUPLES","Couple","","11206034","true","The room allotted was packed from all the sides and not a single window was there in it.","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The staff the rooms and the location next to sarwanna bhavan pure veg restaurant.

We received early check-in and extended check out too.","10","12/13/2024, 1:00:34 AM","1120603408","Economy Double Room",,"G"
"https://xx.bstatic.com/xdata/images/xphoto/square64/102704643.jpg?k=0719c6c88db9409f6fd33839322f513ef03635983c81f2161fd443ecb5583501&o=","2024-12-02","2024-12-12","sa","Saudi Arabia","SOLO_TRAVELLERS","Solo traveler","1","11206034","true","Nothing","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Everything is good.. From first step in the lobby you can feel the comfort.. Thanks for everything","10","12/12/2024, 8:36:03 PM","1120603409","Deluxe Double or Twin Room",,"Abdullah"
"https://xx.bstatic.com/xdata/images/xphoto/square64/15680933.jpg?k=0b2975a02fb88de9927f69c6f7bca5a40df626576f4433745fe7b07769f8ec73&o=","2024-11-25","2024-11-27","bh","Bahrain","FAMILIES","Family","","11206034","true","breakfast","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"the breakfast was too poor","8","11/30/2024, 11:08:15 AM","1120603408","Economy Double Room",,"Fahad-bok"
"https://xx.bstatic.com/static/img/review/avatars/ava-m.png","2024-10-24","2024-10-26","pk","Pakistan","SOLO_TRAVELLERS","Solo traveler","2","11206034","true","","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The location of property was very good","10","11/30/2024, 7:36:08 AM","1120603409","Deluxe Double or Twin Room",,"Muhammad"
"","2024-11-24","2024-11-25","sa","Saudi Arabia","SOLO_TRAVELLERS","Solo traveler","","11206034","true","","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It was great..Alhamdullilah","10","11/25/2024, 6:18:02 PM","1120603408","Economy Double Room",,"Ifteqar"
"https://xx.bstatic.com/static/img/review/avatars/ava-s.png","2024-11-19","2024-11-23","om","Oman","COUPLES","Couple","","11206034","true","Rate is little higher and it seems a 3 star property and for this property for 4 nights 1700 SAR is too much. Washroom doesn’t have tissues, less space washrooms. 4 days we have stayed and the room service is very bad.","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Good location, but rate is too much and i have shown them the booking.com while am in late checkin, the room is not ready and they given a temporary room after the next day i have received another room that was good.","8","11/23/2024, 9:40:22 PM","1120603411","Junior Suite","Average","Saifudheen"
"https://xx.bstatic.com/static/img/review/avatars/ava-e.png","2024-11-13","2024-11-16","eg","Egypt","FAMILIES","Family","","11206034","true","","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"So wonderful staff","9","11/23/2024, 3:00:10 PM","1120603408","Economy Double Room","It’s really so nice hotel,","Ehab"
"https://xx.bstatic.com/xdata/images/xphoto/square64/197343251.jpg?k=4a9dc569fd856f1046fbb4b9ea12b31b2ae6c9506005f51621059351e2c0172e&o=","2024-11-10","2024-11-15","ar","Argentina","COUPLES","Couple","","11206034","true","The noise from the road and from the elevator, the doors when closing make such a noise also. Everyday they only put one towel and we are two.","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"We requested a silent room many days before, unfortunately they did not provide us with one, however they upgraded us to a junior suite which was very nice and spacious, but noisy from the road and from the elevator. The alternative option they offered us next day was also besides the elevator which makes sounds and talks all the time even during night hours.
Is near a mall and the area is good.","8","11/15/2024, 8:38:24 PM","1120603409","Deluxe Double or Twin Room","Nice","Soledad"
