,Month,Indicator, Albaha, Alqassim, Aseer, Eastern, Hail, Jazan, Jouf, Madinah, Makkah, Najran, Northern Borders, Riyadh, Tabuk, Total,المؤشر, الشهر,
,,Tourists Spending (SAR),"59,269,366","451,744,922","575,188,826","1,736,172,979","307,576,290","333,205,739","297,061,181","816,909,770","2,889,864,033","205,173,655","299,886,587","2,626,343,103","756,611,903","11,355,008,353",إنفاق السياح (ريال),,
,February,Tourists Number (Overnight Visitors),"37,792","349,713","396,562","1,044,118","163,346","205,688","106,086","465,742","1,790,593","94,897","110,373","1,464,860","220,168","6,449,938",عدد السياح (زوار المبيت),فبراير,
,,Tourists Spending (SAR),"41,924,750","485,981,867","416,727,696","1,062,182,056","260,029,505","221,259,116","206,030,689","625,592,259","2,405,311,238","196,576,072","340,435,269","2,368,349,939","503,115,819","9,133,516,274",إنفاق السياح (ريال),,
,March,Tourists Number (Overnight Visitors),"43,728","351,766","365,198","958,961","167,726","155,334","89,630","488,231","1,781,854","63,068","66,321","1,478,679","194,259","6,204,755",عدد السياح (زوار المبيت),مارس,
,,Tourists Spending (SAR),"39,359,205","314,835,636","294,100,818","978,286,565","288,303,941","154,928,434","231,618,472","520,032,074","2,535,957,368","84,276,787","194,383,356","2,263,070,631","396,467,518","8,295,620,806",إنفاق السياح (ريال),,
,April,Tourists Number (Overnight Visitors),"78,339","397,219","513,029","878,705","225,486","201,548","115,401","773,333","3,363,459","112,498","75,809","1,082,452","218,853","8,036,131",عدد السياح (زوار المبيت),أبريل,
,,Tourists Spending (SAR),"61,416,723","534,286,112","444,559,617","797,590,404","268,120,505","189,140,120","192,350,336","1,036,537,489","4,447,572,018","170,981,905","176,358,251","1,449,650,325","346,053,137","10,114,616,942",إنفاق السياح (ريال),,
,May,Tourists Number (Overnight Visitors),"91,577","375,143","493,968","1,128,741","165,272","152,587","104,358","603,769","2,072,431","90,649","98,049","1,623,135","246,430","7,246,109",عدد السياح (زوار المبيت),مايو,
,,Tourists Spending (SAR),"68,818,934","340,394,916","571,637,076","1,252,936,120","282,932,204","140,743,320","254,815,106","633,968,863","2,726,102,856","133,190,085","209,774,552","2,341,705,112","568,517,938","9,525,537,084",إنفاق السياح (ريال),,
,June,Tourists Number (Overnight Visitors),"29,098","232,384","281,209","632,441","98,517","84,572","75,748","279,202","1,189,735","52,823","45,107","873,794","158,157","4,032,787",عدد السياح (زوار المبيت),يونيو,
,,Tourists Spending (SAR),"25,895,177","330,377,940","357,357,040","787,501,056","221,798,856","117,990,283","231,549,026","399,915,176","1,525,397,238","126,517,584","131,892,626","1,312,292,114","432,669,682","6,001,153,799",إنفاق السياح (ريال),,
,July,Tourists Number (Overnight Visitors),"413,843","541,155","1,498,079","1,146,011","379,081","257,619","165,665","889,452","3,022,765","183,918","134,903","1,801,836","361,227","10,795,554",عدد السياح (زوار المبيت),يوليو,
,,Tourists Spending (SAR),"416,487,508","548,675,529","2,429,069,025","1,303,936,195","928,571,709","283,376,690","458,794,642","1,226,082,727","5,525,141,166","418,252,613","493,686,343","2,748,868,808","875,841,186","17,656,784,141",إنفاق السياح (ريال),,
,August,Tourists Number (Overnight Visitors),"157,036","274,187","745,729","873,699","169,923","192,795","133,570","539,423","1,966,858","122,891","82,483","1,503,380","246,464","7,008,438",عدد السياح (زوار المبيت),أغسطس,
,,Tourists Spending (SAR),"170,320,839","371,096,227","992,414,283","1,055,113,415","751,781,896","184,408,388","401,196,907","712,499,087","2,891,239,073","193,997,183","335,707,040","2,750,234,370","422,177,252","11,232,185,960",إنفاق السياح (ريال),,
,September,Tourists Number (Overnight Visitors),"34,420","279,147","278,697","670,397","116,986","95,185","61,761","344,752","1,169,428","48,028","60,338","891,212","145,688","4,196,039",عدد السياح (زوار المبيت),سبتمبر,
,,Tourists Spending (SAR),"34,828,734","317,271,866","281,613,917","731,982,242","167,667,225","102,723,607","95,193,961","344,665,592","1,342,439,030","56,310,509","100,742,634","1,428,693,962","228,139,593","5,232,272,873",إنفاق السياح (ريال),,
,October,Tourists Number (Overnight Visitors),"31,937","189,074","336,924","868,031","107,016","183,404","102,999","360,375","1,185,032","81,145","66,126","1,149,141","176,982","4,838,186",عدد السياح (زوار المبيت),أكتوبر,
,,Tourists Spending (SAR),"40,754,130","199,908,270","296,775,351","943,969,220","148,016,944","125,751,864","105,546,008","356,269,073","1,321,300,980","124,259,759","94,840,255","1,737,077,956","449,574,342","5,944,044,153",إنفاق السياح (ريال),,
,November,Tourists Number (Overnight Visitors),"34,633","415,283","522,430","1,058,265","203,065","176,110","105,520","529,551","1,911,198","101,670","96,409","1,643,791","205,224","7,003,149",عدد السياح (زوار المبيت),نوفمبر,
,,Tourists Spending (SAR),"28,262,940","334,157,429","383,555,811","1,382,214,503","219,405,804","120,755,065","96,786,640","533,460,099","2,104,436,500","150,093,325","133,103,423","2,508,875,564","265,020,532","8,260,127,635",إنفاق السياح (ريال),,
,December,Tourists Number (Overnight Visitors),"20,168","258,492","365,521","678,578","129,187","123,109","63,736","366,580","1,125,115","52,356","54,444","978,457","134,512","4,350,255",عدد السياح (زوار المبيت),ديسمبر,
,,Tourists Spending (SAR),"13,110,753","249,927,776","308,735,618","651,402,062","163,604,556","80,895,623","49,775,151","365,666,235","932,482,642","83,654,699","63,029,455","1,411,915,915","134,147,761","4,508,348,246",إنفاق السياح (ريال),,
,Total,Tourists Number (Overnight Visitors),"1,021,043","4,054,065","6,329,982","11,139,453","2,148,543","2,128,890","1,252,504","6,220,574","22,663,371","1,109,519","1,014,636","16,143,782","2,610,139","77,836,501",عدد السياح (زوار المبيت),الإجمالي,
,,Tourists Spending (SAR),"1,000,449,060","4,478,658,491","7,351,735,077","12,683,286,818","4,007,809,435","2,055,178,250","2,620,718,119","7,571,598,445","30,647,244,144","1,943,284,175","2,573,839,792","24,947,077,798","5,378,336,662","107,259,216,265",إنفاق السياح (ريال),,
2023,January,Tourists Number (Overnight Visitors),"39,183","279,751","540,122","956,874","124,398","374,146","74,255","424,782","1,723,958","106,398","93,776","1,364,905","191,408","6,293,956",عدد السياح (زوار المبيت),يناير,2023
,,Tourists Spending (SAR),"32,259,516","287,333,543","628,210,473","1,038,780,547","203,215,462","297,658,226","131,689,081","456,189,850","1,847,830,260","163,502,539","175,185,618","2,769,144,034","302,364,431","8,333,363,581",إنفاق السياح (ريال),,
,February,Tourists Number (Overnight Visitors),"30,045","438,099","448,544","936,612","127,236","246,886","79,146","390,244","1,445,499","76,058","91,724","1,130,922","166,622","5,607,637",عدد السياح (زوار المبيت),فبراير,
,,Tourists Spending (SAR),"44,424,048","448,811,010","651,126,650","1,143,373,256","178,383,095","207,199,486","149,182,207","430,928,872","1,788,620,354","136,582,152","176,718,788","1,993,535,098","272,232,632","7,621,117,650",إنفاق السياح (ريال),,
,March,Tourists Number (Overnight Visitors),"53,008","312,158","501,582","1,117,327","201,187","188,810","97,938","500,722","1,965,067","76,835","85,893","1,180,665","220,964","6,502,156",عدد السياح (زوار المبيت),مارس,
,,Tourists Spending (SAR),"59,309,281","385,995,851","669,807,179","1,423,126,473","243,875,163","295,199,316","140,012,221","646,830,191","2,864,291,013","141,789,561","180,779,926","2,357,876,063","334,596,505","9,743,488,742",إنفاق السياح (ريال),,
,April,Tourists Number (Overnight Visitors),"69,457","573,190","495,447","1,141,790","163,058","190,129","98,404","553,587","2,163,229","97,739","94,872","1,042,259","198,135","6,881,296",عدد السياح (زوار المبيت),أبريل,
,,Tourists Spending (SAR),"90,482,743","692,933,821","735,947,550","1,481,223,649","282,337,932","286,632,692","119,424,114","585,522,793","3,091,998,276","108,139,320","129,929,125","1,561,498,915","261,976,607","9,428,047,536",إنفاق السياح (ريال),,
,May,Tourists Number (Overnight Visitors),"60,160","239,156","413,729","902,744","98,837","78,674","63,512","353,315","1,424,077","63,019","56,611","1,060,746","188,411","5,002,991",عدد السياح (زوار المبيت),مايو,
