timestamp,0-which_city_or_destination_in_saudi_arabia_did_you_visit_the_most?,what_factors_influenced_your_choice_of_destination?,in_which_season_did_you_visit_saudi_arabia?,what_was_the_main_reason_for_visiting_saudi_arabia_in_that_season?,are_you_a_domestic_(saudi_resident)_or_international_tourist?,how_many_days_did_you_spend_in_saudi_arabia?,what_was_your_estimated_total_expenditure_during_your_trip?,what_did_you_spend_the_most_money_on?,how_would_you_rate_your_overall_experience_in_saudi_arabia?,what_aspects_of_your_trip_did_you_enjoy_the_most?,what_aspects_of_your_trip_did_you_find_challenging_or_dissatisfying?,have_you_attended_riyadh_season_or_visited_neom?,how_important_were_events_like_riyadh_season_in_influencing_your_decision_to_visit_saudi_arabia?
2025-02-06 18:57:54.979,Jeddah,"Cultural experiences, Religious sites",Spring,Holidays,International Tourist,1 to 3 Days,"5,000 to 10,000 Saudi Riyals",Accommodation,4,"Safety, Food, Cleanliness","Costs, Weather",No,1
2025-02-06 18:58:50.376,Al-Ula,"Cultural experiences, Adventure activities",Summer,Holidays,International Tourist,4 to 7 Days,"More than 15,000 Saudi Riyals",Accommodation,4,"Attractions, Safety, Food","Costs, Weather",No,1
2025-02-06 19:01:52.167,Riyadh,"Adventure activities, Entertainment events ex. Riyadh season",Winter,Specific event,Saudi resident,1 to 3 Days,"5,000 to 10,000 Saudi Riyals",Accommodation,5,"Attractions, Food",Transportation,Yes,5
2025-02-06 19:02:41.611,Ha'il,Cultural experiences,Winter,Holidays,Saudi resident,4 to 7 Days,"10,000 to 15,000 Saudi Riyals",Accommodation,5,"Hospitality, Food",Transportation,Yes,1
2025-02-06 19:03:59.138,Al-Ula,"Cultural experiences, Adventure activities",Spring,Holidays,Saudi resident,1 to 3 Days,"More than 15,000 Saudi Riyals",Accommodation,3,"Hospitality, Attractions",Transportation,No,1
2025-02-06 19:04:56.690,Qassim,Cultural experiences,Winter,Holidays,Saudi resident,1 to 3 Days,"1,000 to 5,000 Saudi Riyals",Accommodation,1,"Hospitality, Food",Transportation,Yes,2
2025-02-06 19:05:23.653,Riyadh,"Cultural experiences, Adventure activities",Autumn,Specific event,Saudi resident,4 to 7 Days,"5,000 to 10,000 Saudi Riyals",Food,4,Attractions,Weather,No,1
2025-02-06 19:07:21.696,Eastern Province,Adventure activities,Autumn,Holidays,Saudi resident,1 to 3 Days,"5,000 to 10,000 Saudi Riyals",Accommodation,5,"Hospitality, Cleanliness","Weather, Transportation",Yes,1
2025-02-06 19:41:12.268,Riyadh,Religious sites,Summer,Holidays,International Tourist,1 to 3 Days,"More than 15,000 Saudi Riyals",Activities/Attractions,3,Cleanliness,Costs,No,2
2025-02-06 19:59:10.362,Riyadh,"Cultural experiences, Religious sites, Adventure activities, Entertainment events ex. Riyadh season",Summer,Business,Saudi resident,More than 2 weeks,"1,000 to 5,000 Saudi Riyals",Food,5,"Hospitality, Attractions, Safety, Food, Cleanliness",Language barriers,Yes,4
2025-02-06 21:33:24.201,Riyadh,"Cultural experiences, Adventure activities, Entertainment events ex. Riyadh season",Winter,Specific event,Saudi resident,More than 2 weeks,"5,000 to 10,000 Saudi Riyals",Shopping,5,"Attractions, Safety, Food","Language barriers, Costs, Weather, Transportation",Yes,5
2025-02-07 01:32:53.966,Jeddah,Religious sites,Summer,Specific event,Saudi resident,1 to 3 Days,"5,000 to 10,000 Saudi Riyals",Accommodation,4,Hospitality,Costs,Yes,5
2025-02-07 05:49:51.720,Riyadh,Religious sites,Winter,Holidays,Saudi resident,1 to 3 Days,"Less than 1,000 Saudi Riyals",Accommodation,3,Hospitality,Costs,Yes,3
2025-02-07 11:41:08.410,Al-Taif (almost all my trips were there i am surprised you didn't mention it) the next question is non of the above. Its due to colder climate (weather) ,Adventure activities,Winter,I live here nigaa + too broke to leave (the queston after after the next is 365.25×21 days you do the math),Saudi resident,More than 2 weeks,"More than 15,000 Saudi Riyals",Accommodation,1,Monkeys on the spiralling road. If you know you know ,"Costs, I think neom is empty (reason for not visiting)",No,1
2025-02-08 04:19:04.515,Jeddah,"Cultural experiences, Adventure activities, Entertainment events ex. Riyadh season",Spring,Holidays,Saudi resident,More than 2 weeks,"10,000 to 15,000 Saudi Riyals",Shopping,5,"Hospitality, Attractions, Safety, Food, Cleanliness",Weather,Yes,5
2025-02-08 04:22:32.921,Riyadh,"Cultural experiences, Adventure activities, Entertainment events ex. Riyadh season",Summer,Specific event,Saudi resident,More than 2 weeks,"More than 15,000 Saudi Riyals",Shopping,5,"Hospitality, Attractions, Safety, Food, Cleanliness","Costs, Weather, Transportation",Yes,5
2025-03-09 18:49:12.267,Jeddah,"Cultural experiences, Religious sites",Winter,Holidays,Saudi resident,More than 2 weeks,"More than 15,000 Saudi Riyals",Accommodation,5,"Hospitality, Attractions, Safety, Food, Cleanliness","Costs, Weather",No,2
