address,addressobj/city,addressobj/country,addressobj/postalcode,addressobj/street1,amenities/0,amenities/1,amenities/2,amenities/3,ancestorlocations/0/id,ancestorlocations/0/name,ancestorlocations/0/subcategory,ancestorlocations/1/id,ancestorlocations/1/name,ancestorlocations/1/subcategory,ancestorlocations/2/id,ancestorlocations/2/name,ancestorlocations/2/subcategory,category,categoryreviewscores/0/categoryname,categoryreviewscores/0/score,categoryreviewscores/1/categoryname,categoryreviewscores/1/score,categoryreviewscores/2/categoryname,categoryreviewscores/2/score,checkindate,checkoutdate,hotelclass,id,image,input,isnearbyresult,latitude,locallangcode,localname,locationstring,longitude,name,numberofreviews,photocount,photos/0,rankingdenominator,rankingposition,rankingstring,rating,ratinghistogram/count1,ratinghistogram/count2,ratinghistogram/count3,ratinghistogram/count4,ratinghistogram/count5,rawranking,subcategories/0,type,weburl
"Ibrahim Al Khalil Rd Masfelah District, Mecca 24231 Saudi Arabia",Mecca,Saudi Arabia,24231,Ibrahim Al Khalil Rd,Wheelchair access,Restaurant,Non-smoking rooms,Laundry Service,293993,Mecca,City,2628879,Makkah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,3.5,Rooms,3.6,Value,3.6,2025-02-05,2025-02-06,0.0,26493633,https://media-cdn.tripadvisor.com/media/photo-o/0e/27/0d/a6/dar-al-eiman-grand.jpg,Saudi Arabia,False,21.413115,ar,‫Emaar Grand Hotel‬,"Mecca, Makkah Province",39.822033,Emaar Grand Hotel,167,121,https://media-cdn.tripadvisor.com/media/photo-o/0e/1f/e0/e3/20161225-010506-largejpg.jpg,310.0,106.0,#106 of 310 hotels in Mecca,3.0,42,11,40,42,32,3.0370445251464844,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g293993-d26493633-Reviews-Emaar_Grand_Hotel-Mecca_Makkah_Province.html
"8792 Al Rayan Unit No. 1 Imam Boukhari Street, Buraidah 52344 Saudi Arabia",Buraidah,Saudi Arabia,52344,8792 Al Rayan,Pool,Internet,Suites,Room service,652389,Buraidah,City,2628882,Al Qasim Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.5,Rooms,3.9,Value,4.0,2025-02-05,2025-02-06,4.0,12679816,https://media-cdn.tripadvisor.com/media/photo-o/12/a5/26/81/radisson-blu-hotel-buraidah.jpg,Saudi Arabia,False,26.347807,ar,راديسون بلو بريدة,"Buraidah, Al Qasim Province",43.923424,"Radisson Blu Hotel, Buraidah",135,26,https://media-cdn.tripadvisor.com/media/photo-o/12/a5/26/81/radisson-blu-hotel-buraidah.jpg,18.0,2.0,#2 of 18 hotels in Buraidah,4.0,11,9,8,37,70,3.565850257873535,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g652389-d12679816-Reviews-Radisson_Blu_Hotel_Buraidah-Buraidah_Al_Qasim_Province.html
"Al Urubah Rd Umm Al Hamam Al Gharbi, Riyadh 12328 Saudi Arabia",Riyadh,Saudi Arabia,12328,Al Urubah Rd,Unknown,Unknown,Unknown,Unknown,293995,Riyadh,City,2628867,Riyadh Province,Province,293991.0,Saudi Arabia,Country,hotel,Unknown,4.2,Unknown,4.0,Unknown,4.0,2025-02-05,2025-02-06,0.0,23999395,https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/59/bb/75/outdoor-seating.jpg,Saudi Arabia,False,24.699633,ar,‫Voyage Hotel‬,"Riyadh, Riyadh Province",46.64364,Voyage Hotel,3,5,https://media-cdn.tripadvisor.com/media/photo-o/2e/59/bb/73/outdoor-seating.jpg,317.0,140.0,#140 of 317 hotels in Riyadh,3.5,0,0,2,0,1,3.043771505355835,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g293995-d23999395-Reviews-Voyage_Hotel-Riyadh_Riyadh_Province.html
"Muhammad Zaidan, Al Naeem, Jeddah, Jeddah 23526 Saudi Arabia",Jeddah,Saudi Arabia,23526,"Muhammad Zaidan, Al Naeem, Jeddah",Unknown,Unknown,Unknown,Unknown,295419,Jeddah,City,2628879,Makkah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,5.0,Value,5.0,Service,5.0,2025-02-05,2025-02-06,4.0,25343320,https://media-cdn.tripadvisor.com/media/photo-m/1280/29/d0/d4/ee/caption.jpg,Saudi Arabia,False,21.618576,ar,‫Jasmine Garden Hotel‬,"Jeddah, Makkah Province",39.15313,Jasmine Garden Hotel,3,5,https://media-cdn.tripadvisor.com/media/photo-o/29/d0/d4/ea/caption.jpg,253.0,60.0,#60 of 253 hotels in Jeddah,5.0,0,0,0,0,3,3.1011061668396,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g295419-d25343320-Reviews-Jasmine_Garden_Hotel-Jeddah_Makkah_Province.html
"Al Dalaa Northern 1244 Bldg No 8964, NEOM Community 1, Sharmaa 49643 Saudi Arabia",Sharmaa,Saudi Arabia,49643,"Al Dalaa Northern 1244 Bldg No 8964, NEOM Community 1",Internet,Free Internet,Free parking,Wheelchair access,12700977,Sharmaa,City,2628869,Tabuk Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,5.0,Rooms,4.0,Value,3.0,2025-02-05,2025-02-06,3.0,27000074,https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/b8/e3/c7/guest-room-bath.jpg,Saudi Arabia,False,28.108091,ar,‫Hampton By Hilton Sharma‬,"Sharmaa, Tabuk Province",35.110935,Hampton By Hilton Sharma,6,75,https://media-cdn.tripadvisor.com/media/photo-o/2b/91/de/99/caption.jpg,1.0,1.0,#1 of 1 hotels in Sharmaa,4.0,0,0,2,1,3,3.1257569789886475,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g12700977-d27000074-Reviews-Hampton_By_Hilton_Sharma-Sharmaa_Tabuk_Province.html
"Corniche Road Al Shatiea, Jeddah 21411 Saudi Arabia",Jeddah,Saudi Arabia,21411,Corniche Road,Pool,Internet,Kids Activities,Suites,295419,Jeddah,City,2628879,Makkah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.6,Rooms,4.4,Value,4.1,2025-02-05,2025-02-06,5.0,24147156,https://media-cdn.tripadvisor.com/media/photo-o/2d/78/52/7a/hotel.jpg,Saudi Arabia,False,21.627949,ar,‫Joudyan Jeddah Red Sea Mall‬,"Jeddah, Makkah Province",39.10976,Joudyan Jeddah Red Sea Mall,138,113,https://media-cdn.tripadvisor.com/media/photo-o/2d/78/52/7a/hotel.jpg,253.0,16.0,#16 of 253 hotels in Jeddah,4.5,9,4,10,10,106,4.046740531921387,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g295419-d24147156-Reviews-Joudyan_Jeddah_Red_Sea_Mall-Jeddah_Makkah_Province.html
"North Hail City Road, Ha'il Saudi Arabia",Ha'il,Saudi Arabia,Unknown,North Hail City Road,Pool,Internet,Suites,Room service,1641845,Ha'il,City,2628885,Ha'il Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,3.7,Rooms,4.5,Value,4.1,2025-02-05,2025-02-06,5.0,10062182,https://media-cdn.tripadvisor.com/media/photo-o/2c/2f/2e/4a/exlounge.jpg,Saudi Arabia,False,27.65289,ar,‫Millennium Hail Hotel‬,"Ha'il, Ha'il Province",41.723907,Millennium Hail Hotel,250,171,https://media-cdn.tripadvisor.com/media/photo-o/2c/2f/2e/4a/exlounge.jpg,11.0,1.0,#1 of 11 hotels in Ha'il,4.5,13,11,15,41,170,4.21942663192749,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g1641845-d10062182-Reviews-Millennium_Hail_Hotel-Ha_il_Ha_il_Province.html
"King Fahd Road, Dammam 31441 Saudi Arabia",Dammam,Saudi Arabia,31441,King Fahd Road,Restaurant,Free Wifi,Breakfast Buffet,Internet,298547,Dammam,City,2628852,Eastern Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,3.2,Rooms,3.0,Value,3.1,2025-02-05,2025-02-06,4.0,583421,https://media-cdn.tripadvisor.com/media/photo-o/12/20/7b/60/dammam-palace-hotel.jpg,Saudi Arabia,False,26.428589,ar,‫Dammam Palace Hotel‬,"Dammam, Eastern Province",50.103542,Dammam Palace Hotel,45,52,https://media-cdn.tripadvisor.com/media/photo-o/12/20/67/29/hotel-building.jpg,38.0,12.0,#12 of 38 hotels in Dammam,3.0,3,10,14,16,2,3.0735177993774414,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g298547-d583421-Reviews-Dammam_Palace_Hotel-Dammam_Eastern_Province.html
"Jarir Street Al Ihsa Interchange, Riyadh 12831 Saudi Arabia",Riyadh,Saudi Arabia,12831,Jarir Street,Pool,Internet,Suites,Free Internet,293995,Riyadh,City,2628867,Riyadh Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.5,Rooms,4.3,Value,4.5,2025-02-05,2025-02-06,4.0,15368089,https://media-cdn.tripadvisor.com/media/photo-w/2c/32/1b/6f/ich-riyadh-exterior.jpg,Saudi Arabia,False,24.672031,ar,‫IntercityHotel Riyadh Malaz‬,"Riyadh, Riyadh Province",46.736122,IntercityHotel Riyadh Malaz,15,24,https://media-cdn.tripadvisor.com/media/photo-o/15/a1/8f/2c/hotel-exterior-evening.jpg,957.0,76.0,#76 of 957 hotels in Riyadh,4.0,2,0,1,4,8,3.1735177040100098,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g293995-d15368089-Reviews-IntercityHotel_Riyadh_Malaz-Riyadh_Riyadh_Province.html
"Prince Turkey Street 6681 Al Amir Turki, Unit No. 1, Al Khobar 34413 Saudi Arabia",Al Khobar,Saudi Arabia,34413,Prince Turkey Street,Restaurant,Free Wifi,Fitness center,Bath / Shower,298545,Al Khobar,City,2628852,Eastern Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.9,Rooms,4.9,Value,4.4,2025-02-05,2025-02-06,4.0,19460166,https://media-cdn.tripadvisor.com/media/photo-m/1280/2b/ff/40/59/in-room-dining.jpg,Saudi Arabia,False,26.3054,ar,سنترو الكورنيش,"Al Khobar, Eastern Province",50.2237,Centro Corniche Al Khobar,38,143,https://media-cdn.tripadvisor.com/media/photo-o/2b/ff/40/59/in-room-dining.jpg,103.0,22.0,#22 of 103 hotels in Al Khobar,4.0,4,2,5,2,25,3.2731525897979736,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g298545-d19460166-Reviews-Centro_Corniche_Al_Khobar-Al_Khobar_Eastern_Province.html
"Madinah Branch Road Al Andalus, Jeddah 23326 Saudi Arabia",Jeddah,Saudi Arabia,23326,Madinah Branch Road,Internet,Suites,Room service,Free Internet,295419,Jeddah,City,2628879,Makkah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.4,Rooms,4.6,Value,4.4,2025-02-05,2025-02-06,4.0,20139416,https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/48/66/10/exterior-view.jpg,Saudi Arabia,False,21.552889,ar,أداجيو جدة سيتي سنتر,"Jeddah, Makkah Province",39.173847,Adagio Jeddah City Center,37,53,https://media-cdn.tripadvisor.com/media/photo-o/2e/48/66/10/exterior-view.jpg,20.0,2.0,#2 of 20 special hotels in Jeddah,5.0,0,0,3,2,32,3.716668367385864,Specialty Lodging,HOTEL,https://www.tripadvisor.com/Hotel_Review-g295419-d20139416-Reviews-Adagio_Jeddah_City_Center-Jeddah_Makkah_Province.html
"King Faisal Road, Khamis Mushait 61961 Saudi Arabia",Khamis Mushait,Saudi Arabia,61961,King Faisal Road,Free Internet,Restaurant,Free Wifi,Indoor pool,298550,Khamis Mushait,City,2628858,Asir Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.0,Rooms,4.5,Value,5.0,2025-02-05,2025-02-06,5.0,12660159,https://media-cdn.tripadvisor.com/media/photo-o/11/03/7e/1d/bayat-hotel-by-cristal.jpg,Saudi Arabia,False,18.28815,ar,‫Bayat Hotel‬,"Khamis Mushait, Asir Province",42.725086,Bayat Hotel,31,46,https://media-cdn.tripadvisor.com/media/photo-o/12/57/16/6b/bayat-hotel-by-cristal.jpg,11.0,1.0,#1 of 11 hotels in Khamis Mushait,4.5,3,0,1,4,23,3.2438864707946777,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g298550-d12660159-Reviews-Bayat_Hotel-Khamis_Mushait_Asir_Province.html
"11565 Olaya St King Fahad Road Crossing Arouba Street, Riyadh 12281 Saudi Arabia",Riyadh,Saudi Arabia,12281,11565 Olaya St,Restaurant,Internet,Suites,Room service,293995,Riyadh,City,2628867,Riyadh Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.3,Rooms,4.1,Value,4.1,2025-02-05,2025-02-06,4.0,3349253,https://media-cdn.tripadvisor.com/media/photo-o/07/b3/3c/2e/carawan-al-fahad-hotel.jpg,Saudi Arabia,False,24.711273,ar,‫Carawan Al Fahad Hotel‬,"Riyadh, Riyadh Province",46.671043,Carawan Al Fahad Hotel,54,18,https://media-cdn.tripadvisor.com/media/photo-o/10/bb/65/82/photo3jpg.jpg,317.0,67.0,#67 of 317 hotels in Riyadh,4.0,1,1,11,23,18,3.264312505722046,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g293995-d3349253-Reviews-Carawan_Al_Fahad_Hotel-Riyadh_Riyadh_Province.html
"6154 2479 Abu Ayyub Al-Ansari, Medina 42311 Saudi Arabia",Medina,Saudi Arabia,42311,6154 2479 Abu Ayyub Al-Ansari,Restaurant,Free Wifi,Air conditioning,Free parking,298551,Medina,City,2628875,Al Madinah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.4,Rooms,4.3,Value,4.2,2025-02-05,2025-02-06,4.0,27883391,https://media-cdn.tripadvisor.com/media/photo-o/2c/9d/6a/31/caption.jpg,Saudi Arabia,False,24.464714,ar,‫Al Manakha Rotana Madinah‬,"Medina, Al Madinah Province",39.607002,Al Manakha Rotana Madinah,35,66,https://media-cdn.tripadvisor.com/media/photo-o/2c/9d/6a/31/caption.jpg,227.0,20.0,#20 of 227 hotels in Medina,4.5,3,1,1,5,25,3.419161796569824,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g298551-d27883391-Reviews-Al_Manakha_Rotana_Madinah-Medina_Al_Madinah_Province.html
"Omer Bin Khattab (Al-anbariyah) Road, Medina 41422 Saudi Arabia",Medina,Saudi Arabia,41422,Omer Bin Khattab (Al-anbariyah) Road,Wheelchair access,Restaurant,Internet,Suites,298551,Medina,City,2628875,Al Madinah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.4,Rooms,4.2,Value,3.9,2025-02-05,2025-02-06,5.0,1804805,https://media-cdn.tripadvisor.com/media/photo-w/2c/2f/2c/9e/main-king-bed-room.jpg,Saudi Arabia,False,24.465343,ar,فندق طيبة المدينة المنورة,"Medina, Al Madinah Province",39.606647,Taiba Hotel,491,308,https://media-cdn.tripadvisor.com/media/photo-o/2c/2f/2c/9e/main-king-bed-room.jpg,227.0,14.0,#14 of 227 hotels in Medina,4.0,50,37,69,118,217,3.600435256958008,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g298551-d1804805-Reviews-Taiba_Hotel-Medina_Al_Madinah_Province.html
"Olaya Main Road Beside AlAqaria Plaza And Kingdom Tower, Riyadh 2299-12244 Saudi Arabia",Riyadh,Saudi Arabia,2299-12244,Olaya Main Road,Self-Serve Laundry,Car Hire,Room service,Restaurant,293995,Riyadh,City,2628867,Riyadh Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.4,Rooms,3.9,Value,3.6,2025-02-05,2025-02-06,4.0,1748545,https://media-cdn.tripadvisor.com/media/photo-o/09/ae/7a/47/executives-hotel-olaya.jpg,Saudi Arabia,False,24.70869,ar,فندق ايكسيكوتف العليا,"Riyadh, Riyadh Province",46.678,Executives Hotel - Olaya,165,266,https://media-cdn.tripadvisor.com/media/photo-o/09/ae/7a/47/executives-hotel-olaya.jpg,317.0,58.0,#58 of 317 hotels in Riyadh,4.0,5,8,34,82,36,3.417872428894043,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g293995-d1748545-Reviews-Executives_Hotel_Olaya-Riyadh_Riyadh_Province.html
"Al Rahmah St Ar Rawdah, Mecca 24352 Saudi Arabia",Mecca,Saudi Arabia,24352,Al Rahmah St,Shuttle Bus Service,Suites,Room service,Free Internet,293993,Mecca,City,2628879,Makkah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.2,Rooms,3.9,Value,4.3,2025-02-05,2025-02-06,4.0,5884764,https://media-cdn.tripadvisor.com/media/photo-o/05/6d/1a/75/elaf-bakkah-hotel.jpg,Saudi Arabia,False,21.422445,ar,فندق ايلاف بكة,"Mecca, Makkah Province",39.848984,Elaf Bakkah Hotel,204,84,https://media-cdn.tripadvisor.com/media/photo-o/29/78/01/29/macckh-saudi-arabia.jpg,310.0,29.0,#29 of 310 hotels in Mecca,4.0,13,13,30,76,72,3.587334156036377,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g293993-d5884764-Reviews-Elaf_Bakkah_Hotel-Mecca_Makkah_Province.html
"Prince Muqrin Bin Abdulaziz St, Yanbu 46436 Saudi Arabia",Yanbu,Saudi Arabia,46436,Prince Muqrin Bin Abdulaziz St,Pool,Internet,Kids Activities,Shuttle Bus Service,298554,Yanbu,City,2628875,Al Madinah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,3.5,Rooms,4.0,Value,3.8,2025-02-05,2025-02-06,5.0,299184,https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/2e/31/34/18/property-building.jpg,Saudi Arabia,False,24.0859,ar,فندق هوليدي ان,"Yanbu, Al Madinah Province",38.106525,"Holiday Inn Yanbu, an IHG Hotel",176,159,https://media-cdn.tripadvisor.com/media/photo-o/2c/03/1c/6f/hotel-exterior.jpg,22.0,3.0,#3 of 22 hotels in Yanbu,4.0,0,7,23,68,78,3.822345733642578,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g298554-d299184-Reviews-Holiday_Inn_Yanbu_an_IHG_Hotel-Yanbu_Al_Madinah_Province.html
"King Abdul Aziz Road - Al Montazah, Buraidah 2196 Saudi Arabia",Buraidah,Saudi Arabia,2196,King Abdul Aziz Road - Al Montazah,Internet,Room service,Free Internet,Restaurant,652389,Buraidah,City,2628882,Al Qasim Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,3.9,Rooms,4.4,Value,3.7,2025-02-05,2025-02-06,4.5,2148650,https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/64/50/3b/out-side-building.jpg,Saudi Arabia,False,26.363527,ar,‫Golden Tulip Buraidah Al Qassim‬,"Buraidah, Al Qasim Province",43.93903,Golden Tulip Buraidah Al Qassim,64,112,https://media-cdn.tripadvisor.com/media/photo-o/2e/64/50/3b/out-side-building.jpg,18.0,3.0,#3 of 18 hotels in Buraidah,4.0,3,5,10,19,27,3.236875057220459,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g652389-d2148650-Reviews-Golden_Tulip_Buraidah_Al_Qassim-Buraidah_Al_Qasim_Province.html
"King Abdullah RD Opposite Alrashid Mall, Medina 42319 Saudi Arabia",Medina,Saudi Arabia,42319,King Abdullah RD,Unknown,Unknown,Unknown,Unknown,298551,Medina,City,2628875,Al Madinah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.0,Value,5.0,Service,5.0,2025-02-05,2025-02-06,0.0,15120092,https://media-cdn.tripadvisor.com/media/photo-o/16/a4/41/95/hafawah-suites.jpg,Saudi Arabia,False,24.47097,ar,‫Hafawah Suites‬,"Medina, Al Madinah Province",39.64765,Hafawah Suites,6,26,https://media-cdn.tripadvisor.com/media/photo-o/16/a4/41/96/hafawah-suites.jpg,227.0,40.0,#40 of 227 hotels in Medina,4.5,0,0,1,2,3,3.098560094833374,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g298551-d15120092-Reviews-Hafawah_Suites-Medina_Al_Madinah_Province.html
"Al Hamra District Southern Corniche, Jeddah 21493 Saudi Arabia",Jeddah,Saudi Arabia,21493,Al Hamra District,Free parking,Restaurant,Spa,Fitness center,295419,Jeddah,City,2628879,Makkah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.8,Rooms,4.8,Value,4.6,2025-02-05,2025-02-06,5.0,12250030,https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/9a/e4/82/exterior.jpg,Saudi Arabia,False,21.52479,ar,فندق ريتز كارلتون، جدة,"Jeddah, Makkah Province",39.15169,The Ritz-carlton Jeddah,133,344,https://media-cdn.tripadvisor.com/media/photo-o/2e/9a/e4/82/exterior.jpg,253.0,20.0,#20 of 253 hotels in Jeddah,4.5,4,4,4,11,110,3.893424272537232,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g295419-d12250030-Reviews-The_Ritz_carlton_Jeddah-Jeddah_Makkah_Province.html
"Prince Abdulmagid bin Abdulaziz King Abdulmajid Corniche Road, Yanbu 41912 Saudi Arabia",Yanbu,Saudi Arabia,41912,Prince Abdulmagid bin Abdulaziz,Pool,Internet,Beachfront,Suites,298554,Yanbu,City,2628875,Al Madinah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.7,Rooms,4.0,Value,4.4,2025-02-05,2025-02-06,4.0,10511118,https://media-cdn.tripadvisor.com/media/photo-w/24/ff/e8/24/exterior-view.jpg,Saudi Arabia,False,24.079716,ar,نوفوتيل ينبع,"Yanbu, Al Madinah Province",38.029522,Novotel Yanbu,173,223,https://media-cdn.tripadvisor.com/media/photo-o/11/77/d5/d6/novotel-yanbu.jpg,22.0,1.0,#1 of 22 hotels in Yanbu,4.5,7,4,7,27,128,4.188559532165527,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g298554-d10511118-Reviews-Novotel_Yanbu-Yanbu_Al_Madinah_Province.html
"2874 King Abdul Aziz Road, Yanbu 7198 Saudi Arabia",Yanbu,Saudi Arabia,7198,2874 King Abdul Aziz Road,Free parking,Pool,Internet,Room service,298554,Yanbu,City,2628875,Al Madinah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.1,Rooms,4.3,Value,4.4,2025-02-05,2025-02-06,3.0,4859665,https://media-cdn.tripadvisor.com/media/photo-m/1280/2e/38/2d/c7/exterior.jpg,Saudi Arabia,False,24.086842,ar,إيبيس يانبو المملكة العربية السعودية,"Yanbu, Al Madinah Province",38.075123,ibis Yanbu Saudi Arabia,216,151,https://media-cdn.tripadvisor.com/media/photo-o/07/f3/17/a0/ibis-yanbu-saudi-arabia.jpg,22.0,2.0,#2 of 22 hotels in Yanbu,4.5,7,7,26,54,122,4.134843826293945,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g298554-d4859665-Reviews-Ibis_Yanbu_Saudi_Arabia-Yanbu_Al_Madinah_Province.html
"3266 Custodian of The Two Holy Mosques Road, Al Khobar 31952 Saudi Arabia",Al Khobar,Saudi Arabia,31952,3266 Custodian of The Two Holy Mosques Road,Pool,Suites,Room service,Free parking,298545,Al Khobar,City,2628852,Eastern Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.7,Rooms,4.8,Value,4.3,2025-02-05,2025-02-06,5.0,23092668,https://media-cdn.tripadvisor.com/media/photo-o/2b/7b/52/33/exterior.jpg,Saudi Arabia,False,26.290413,ar,‫Grand Hyatt Al Khobar Hotel and Residences‬,"Al Khobar, Eastern Province",50.178288,Grand Hyatt Al Khobar Hotel and Residences,615,278,https://media-cdn.tripadvisor.com/media/photo-o/1c/8f/6e/78/hotel-entrance.jpg,103.0,3.0,#3 of 103 hotels in Al Khobar,4.5,18,13,24,28,532,4.74538516998291,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g298545-d23092668-Reviews-Grand_Hyatt_Al_Khobar_Hotel_and_Residences-Al_Khobar_Eastern_Province.html
"Prince Mohammed Bin Abdulaziz Street, Jeddah 21493 Saudi Arabia",Jeddah,Saudi Arabia,21493,Prince Mohammed Bin Abdulaziz Street,Pool,Internet,Kids Activities,Suites,295419,Jeddah,City,2628879,Makkah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.2,Rooms,4.3,Value,4.0,2025-02-05,2025-02-06,4.0,10955640,https://media-cdn.tripadvisor.com/media/photo-w/2d/6b/36/cb/exterior.jpg,Saudi Arabia,False,21.55489,ar,نوفوتيل جدة التحلية,"Jeddah, Makkah Province",39.17233,Novotel Jeddah Tahlia,535,388,https://media-cdn.tripadvisor.com/media/photo-o/0e/a2/9e/6c/novotel-jeddah-tahlia.jpg,253.0,13.0,#13 of 253 hotels in Jeddah,4.5,34,16,39,90,356,4.244826793670654,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g295419-d10955640-Reviews-Novotel_Jeddah_Tahlia-Jeddah_Makkah_Province.html
"King Fahad Road Building 2943, Medina 42311 Saudi Arabia",Medina,Saudi Arabia,42311,King Fahad Road,Internet,Suites,Room service,Free Internet,298551,Medina,City,2628875,Al Madinah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.9,Rooms,4.4,Value,4.4,2025-02-05,2025-02-06,5.0,24144306,https://media-cdn.tripadvisor.com/media/photo-w/2d/77/4e/e6/exterior.jpg,Saudi Arabia,False,24.4722,ar,‫Sofitel Shahd Al Madinah Hotel‬,"Medina, Al Madinah Province",39.6114,Sofitel Shahd Al Madinah Hotel,2917,1183,https://media-cdn.tripadvisor.com/media/photo-o/2d/77/4e/e6/exterior.jpg,227.0,5.0,#5 of 227 hotels in Medina,4.5,88,54,128,366,2281,4.805808067321777,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g298551-d24144306-Reviews-Sofitel_Shahd_Al_Madinah_Hotel-Medina_Al_Madinah_Province.html
"Al Taif - Steen Street- Al Shefaa Road - In Front Of Al - Mawared, Taif 26514 Saudi Arabia",Taif,Saudi Arabia,26514,Al Taif - Steen Street- Al Shefaa Road - In Front Of Al - Mawared,Free Wifi,Internet,Kids Activities,Room service,298553,Taif,City,2628879,Makkah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,3.8,Rooms,3.5,Value,4.3,2025-02-05,2025-02-06,2.0,3155038,https://media-cdn.tripadvisor.com/media/photo-o/0f/bd/b8/04/photo4jpg.jpg,Saudi Arabia,False,21.233833,ar,‫Boudl Taif‬,"Taif, Makkah Province",40.41133,Boudl Taif,28,9,https://media-cdn.tripadvisor.com/media/photo-o/09/e0/22/20/boudl-taif.jpg,35.0,3.0,#3 of 35 hotels in Taif,4.0,0,1,5,16,6,3.1788504123687744,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g298553-d3155038-Reviews-Boudl_Taif-Taif_Makkah_Province.html
"6397-6439 Ibrahim Al Khalil Rd, Mecca 24231 Saudi Arabia",Mecca,Saudi Arabia,24231,6397-6439 Ibrahim Al Khalil Rd,Unknown,Unknown,Unknown,Unknown,293993,Mecca,City,2628879,Makkah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,5.0,Rooms,5.0,Value,5.0,2025-02-05,2025-02-06,1.0,27139430,Unknown,Saudi Arabia,False,21.415007,ar,فندق وورث إيليت,"Mecca, Makkah Province",39.822746,Worth Elite Hotel,1,0,https://media-cdn.tripadvisor.com/media/photo-o/15/4d/45/7c/mecca.jpg,310.0,89.0,#89 of 310 hotels in Mecca,5.0,0,0,0,0,1,3.045001745223999,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g293993-d27139430-Reviews-Worth_Elite_Hotel-Mecca_Makkah_Province.html
