address,addressobj/city,addressobj/country,addressobj/postalcode,addressobj/street1,amenities/0,amenities/1,amenities/2,amenities/3,ancestorlocations/0/id,ancestorlocations/0/name,ancestorlocations/0/subcategory,ancestorlocations/1/id,ancestorlocations/1/name,ancestorlocations/1/subcategory,ancestorlocations/2/id,ancestorlocations/2/name,ancestorlocations/2/subcategory,category,categoryreviewscores/0/categoryname,categoryreviewscores/0/score,categoryreviewscores/1/categoryname,categoryreviewscores/1/score,categoryreviewscores/2/categoryname,categoryreviewscores/2/score,checkindate,checkoutdate,hotelclass,id,image,input,isnearbyresult,latitude,locallangcode,localname,locationstring,longitude,name,numberofreviews,photocount,photos/0,rankingdenominator,rankingposition,rankingstring,rating,ratinghistogram/count1,ratinghistogram/count2,ratinghistogram/count3,ratinghistogram/count4,ratinghistogram/count5,rawranking,subcategories/0,type,weburl
"Hira Street, Al Marwa District, Jeddah 21442 Saudi Arabia",Jeddah,Saudi Arabia,21442,"Hira Street, Al Marwa District",Shuttle Bus Service,Free parking,Pets Allowed,Free Wifi,295419,Jeddah,City,2628879,Makkah Province,Province,293991.0,Saudi Arabia,Country,hotel,Value,4.0,Cleanliness,4.0,Service,4.0,2025-02-05,2025-02-06,0.0,9794074,Unknown,Saudi Arabia,False,21.623625,ar,‫Manazel Al Foraat Jeddah‬,"Jeddah, Makkah Province",39.207577,Manazel Al Foraat Jeddah,1,0,https://media-cdn.tripadvisor.com/media/photo-o/0e/ae/dc/9c/photo0jpg.jpg,103.0,48.0,#48 of 103 condos in Jeddah,4.0,0,0,0,1,0,3.0100772380828857,Specialty Lodging,HOTEL,https://www.tripadvisor.com/Hotel_Review-g295419-d9794074-Reviews-Manazel_Al_Foraat_Jeddah-Jeddah_Makkah_Province.html
"King Abdulaziz Road In Front of Al Baqeea, Medina Saudi Arabia",Medina,Saudi Arabia,Unknown,King Abdulaziz Road,Unknown,Unknown,Unknown,Unknown,298551,Medina,City,2628875,Al Madinah Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,5.0,Value,1.0,Cleanliness,3.0,2025-02-05,2025-02-06,5.0,6939687,https://media-cdn.tripadvisor.com/media/photo-s/07/a2/0d/fc/wakan-al-haram-al-nabawi.jpg,Saudi Arabia,False,24.08048,ar,فندق وقان الحرم النبوي,"Medina, Al Madinah Province",38.08963,Wakan Al Haram Al Nabawi Hotel,3,1,https://media-cdn.tripadvisor.com/media/photo-o/07/a2/0d/fc/wakan-al-haram-al-nabawi.jpg,227.0,98.0,#98 of 227 hotels in Medina,3.5,1,0,0,0,2,3.0097928047180176,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g298551-d6939687-Reviews-Wakan_Al_Haram_Al_Nabawi_Hotel-Medina_Al_Madinah_Province.html
"King Fahad street, Almalqa neighborhood, Riyadh 11564 Saudi Arabia",Riyadh,Saudi Arabia,11564,"King Fahad street, Almalqa neighborhood",Unknown,Unknown,Unknown,Unknown,293995,Riyadh,City,2628867,Riyadh Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,3.0,Rooms,4.0,Value,5.0,2025-02-05,2025-02-06,0.0,3463976,https://media-cdn.tripadvisor.com/media/photo-o/03/92/ac/16/rest-night-hotel-suites.jpg,Saudi Arabia,False,24.711666,ar,‫Rest Night Hotel Suites- Al Malqa‬,"Riyadh, Riyadh Province",46.724167,Rest Night Hotel Suites- Al Malqa,1,23,https://media-cdn.tripadvisor.com/media/photo-o/03/92/ad/89/rest-night-hotel-suites.jpg,140.0,64.0,#64 of 140 condos in Riyadh,5.0,0,0,0,0,1,3.009782314300537,Specialty Lodging,HOTEL,https://www.tripadvisor.com/Hotel_Review-g293995-d3463976-Reviews-Rest_Night_Hotel_Suites_Al_Malqa-Riyadh_Riyadh_Province.html
"Alshatee District, Alkhaleej District, Dammam 31434 Saudi Arabia",Dammam,Saudi Arabia,31434,"Alshatee District, Alkhaleej District",Unknown,Unknown,Unknown,Unknown,298547,Dammam,City,2628852,Eastern Province,Province,293991.0,Saudi Arabia,Country,hotel,Unknown,4.2,Unknown,4.0,Unknown,4.0,2025-02-05,2025-02-06,0.0,7087949,Unknown,Saudi Arabia,False,26.45608,ar,شقق بيست تشويس,"Dammam, Eastern Province",50.11615,Best Choice Apartment,1,0,https://media-cdn.tripadvisor.com/media/photo-o/0b/34/f8/8d/view-island-having-houses.jpg,16.0,11.0,#11 of 16 condos in Dammam,4.0,0,0,0,1,0,3.0099544525146484,Specialty Lodging,HOTEL,https://www.tripadvisor.com/Hotel_Review-g298547-d7087949-Reviews-Best_Choice_Apartment-Dammam_Eastern_Province.html
"Cornich Road, Jeddah Saudi Arabia",Jeddah,Saudi Arabia,Unknown,Cornich Road,Internet,Suites,Room service,Free Internet,295419,Jeddah,City,2628879,Makkah Province,Province,293991.0,Saudi Arabia,Country,hotel,Unknown,4.2,Unknown,4.0,Unknown,4.0,2025-02-05,2025-02-06,0.0,8591803,https://media-cdn.tripadvisor.com/media/photo-o/09/4f/9f/42/knooz-alyam-hotel.jpg,Saudi Arabia,False,21.558199,ar,‫Knooz Alyam HOTEL‬,"Jeddah, Makkah Province",39.118896,Knooz Alyam HOTEL,2,5,https://media-cdn.tripadvisor.com/media/photo-o/08/df/14/84/caption.jpg,253.0,172.0,#172 of 253 hotels in Jeddah,3.5,0,0,1,1,0,3.0097973346710205,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g295419-d8591803-Reviews-Knooz_Alyam_HOTEL-Jeddah_Makkah_Province.html
"Al Hujun, 3425, Mecca 24231 Saudi Arabia",Mecca,Saudi Arabia,24231,"Al Hujun, 3425",Unknown,Unknown,Unknown,Unknown,293993,Mecca,City,2628879,Makkah Province,Province,293991.0,Saudi Arabia,Country,hotel,Unknown,4.2,Unknown,4.0,Unknown,4.0,2025-02-05,2025-02-06,0.0,13485050,https://media-cdn.tripadvisor.com/media/photo-o/12/a2/c4/fd/2018-04-14-14-largejpg.jpg,Saudi Arabia,False,21.43894,ar,‫Mawasim Jarwal Hotel‬,"Mecca, Makkah Province",39.81785,Mawasim Jarwal Hotel,1,1,https://media-cdn.tripadvisor.com/media/photo-o/12/a2/c4/fd/2018-04-14-14-largejpg.jpg,21.0,8.0,#8 of 21 condos in Mecca,4.0,0,0,0,1,0,3.010103464126587,Specialty Lodging,HOTEL,https://www.tripadvisor.com/Hotel_Review-g293993-d13485050-Reviews-Mawasim_Jarwal_Hotel-Mecca_Makkah_Province.html
"Al Bahir Al Mayt St., Riyadh 11655 Saudi Arabia",Riyadh,Saudi Arabia,11655,Al Bahir Al Mayt St.,Kids Activities,Free parking,Airport transportation,Free Wifi,293995,Riyadh,City,2628867,Riyadh Province,Province,293991.0,Saudi Arabia,Country,hotel,Unknown,4.2,Unknown,4.0,Unknown,4.0,2025-02-05,2025-02-06,0.0,12541241,Unknown,Saudi Arabia,False,24.68902,ar,‫Arkan Al Aiz Furnished Units‬,"Riyadh, Riyadh Province",46.78866,Arkan Al Aiz Furnished Units,1,0,https://media-cdn.tripadvisor.com/media/photo-o/09/c3/87/b3/photo2jpg.jpg,62.0,26.0,#26 of 62 small hotels in Riyadh,4.0,0,0,0,1,0,3.010107040405273,Bed and Breakfast,HOTEL,https://www.tripadvisor.com/Hotel_Review-g293995-d12541241-Reviews-Arkan_Al_Aiz_Furnished_Units-Riyadh_Riyadh_Province.html
"Madan Ibn Aws Street, Al Khobar 34448 Saudi Arabia",Al Khobar,Saudi Arabia,34448,Madan Ibn Aws Street,Room service,Free parking,Wifi,Free Wifi,298545,Al Khobar,City,2628852,Eastern Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,5.0,Rooms,4.0,Value,4.0,2025-02-05,2025-02-06,0.0,3435420,Unknown,Saudi Arabia,False,26.33079,ar,‫LeCare Hotel‬,"Al Khobar, Eastern Province",50.2112,LeCare Hotel,2,0,https://media-cdn.tripadvisor.com/media/photo-o/09/00/89/07/photo0jpg.jpg,46.0,25.0,#25 of 46 condos in Al Khobar,3.5,0,0,1,1,0,3.01011323928833,Specialty Lodging,HOTEL,https://www.tripadvisor.com/Hotel_Review-g298545-d3435420-Reviews-LeCare_Hotel-Al_Khobar_Eastern_Province.html
"Khalid Al Sidayri Street, Tabouk 52260 Saudi Arabia",Tabouk,Saudi Arabia,52260,Khalid Al Sidayri Street,Free parking,Pets Allowed,Free Wifi,Air conditioning,679581,Tabouk,City,2628869,Tabuk Province,Province,293991.0,Saudi Arabia,Country,hotel,Location,4.0,Service,4.0,Sleep Quality,4.0,2025-02-05,2025-02-06,0.0,12258364,Unknown,Saudi Arabia,False,28.410448,ar,‫Al Eairy Apartments - Tabuk 1‬,"Tabouk, Tabuk Province",36.58446,Al Eairy Apartments - Tabuk 1,1,0,https://media-cdn.tripadvisor.com/media/photo-o/10/a7/57/a3/wadi-tayyib-al-ism-a.jpg,9.0,2.0,#2 of 9 condos in Tabouk,4.0,0,0,0,1,0,3.011331081390381,Specialty Lodging,HOTEL,https://www.tripadvisor.com/Hotel_Review-g679581-d12258364-Reviews-Al_Eairy_Apartments_Tabuk_1-Tabouk_Tabuk_Province.html
"Mahbas Al Jen Area, Al Aziziya District, Mecca 21452 Saudi Arabia",Mecca,Saudi Arabia,21452,Unknown,Room service,Free Wifi,Laundry Service,Air conditioning,293993,Mecca,City,2628879,Makkah Province,Province,293991.0,Saudi Arabia,Country,hotel,Unknown,4.2,Unknown,4.0,Unknown,4.0,2025-02-05,2025-02-06,3.0,11914636,https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/2e/6b/6e/cd/property-building.jpg,Saudi Arabia,False,21.420607,ar,‫Masaat Al Aseel Hotel‬,"Mecca, Makkah Province",39.84896,Masaat Al Aseel Hotel,1,0,https://media-cdn.tripadvisor.com/media/partner/bookingcom/photo-o/2e/11/3b/f6/property-building.jpg,310.0,162.0,#162 of 310 hotels in Mecca,4.0,0,0,0,1,0,3.011385679244995,Hotel,HOTEL,https://www.tripadvisor.com/Hotel_Review-g293993-d11914636-Reviews-Masaat_Al_Aseel_Hotel-Mecca_Makkah_Province.html
